"","screenName","location","lon","lat"
"LibraryHMHS","LibraryHMHS","Haddonfield, New Jersey",-75.0376707,39.8915022
"Change_HC","Change_HC","Nashville, TN",-86.7816016,36.1626638
"preuniop","preuniop","Rome, Lazio",12.4963655,41.9027835
"UMN_swine_group","UMN_swine_group","St Paul, MN",-93.0899578,44.9537029
"elisagad","elisagad","Molfetta, Puglia",16.5987187,41.2027767
"Contagion_Live","Contagion_Live","International",-95.712891,37.09024
"saludjalisco","saludjalisco","Guadalajara, Jalisco",-103.3496092,20.6596988
"MultiBriefs","MultiBriefs","Irving, TX",-96.9488945,32.8140177
"StabellBenn","StabellBenn","Copenhagen, Denmark",12.5683372,55.6760968
"MDedgeIntMed","MDedgeIntMed","Rockville, Maryland, USA",-77.1527578,39.0839973
"MDedgeFamilyMed","MDedgeFamilyMed","Rockville, MD & Parsippany, NJ",-77.1527578,39.0839973
"CanineCampusCO","CanineCampusCO","Colorado Springs, Colorado",-104.8213634,38.8338816
"albaa_b","albaa_b","Reggiolo, Italy",10.8025268,44.9177593
"xKlepto91","xKlepto91","Unknown",-80.8575394,35.2205059
"callemexico","callemexico","Cdmx",-99.133208,19.4326077
"marianurquieta","marianurquieta","Monterrey, Nuevo León",-100.3161126,25.6866142
"Bisco_3","Bisco_3","Milan, Italy",9.189982,45.4642035
"BIOCIENCIA2013","BIOCIENCIA2013","Cumaná",-64.183316,10.431916
"jurreysi","jurreysi","Rotterdam, The Netherlands",4.4777326,51.9244201
"bassairpinia","bassairpinia","Via F. De Sanctis, Avella (AV)",14.5967078,40.9593334
"ilmessaggeroit","ilmessaggeroit","Rome",12.4963655,41.9027835
"Evan_Harrey","Evan_Harrey","Colombia",-74.297333,4.570868
"AmeshAA","AmeshAA","Pittsburgh, Baltimore, NYC",-74.0059728,40.7127753
"ILRBSS","ILRBSS","Italy ",12.56738,41.87194
"flpsq","flpsq","Arezzo, Toscana",11.8796336,43.4632839
"mtmdphd","mtmdphd","Milwaukee, WI",-87.9064736,43.0389025
"unlikemiche_","unlikemiche_","Genoa, Liguria",8.946256,44.4056499
"kprkoranda","kprkoranda","Topeka, KS",-95.6751576,39.0473451
"Bossoft","Bossoft","Boston, MA, USA",-71.0588801,42.3600825
"infrangersi","infrangersi","Praha, Česká Republika.",14.4378005,50.0755381
"SanaguiClaudia","SanaguiClaudia","CDMX",-99.133208,19.4326077
"Px_Flo","Px_Flo","51 Iweka Road 😈",6.7889867,6.1366547
"consumatori","consumatori","Italia",12.56738,41.87194
"TehHarkster","TehHarkster","Italia",12.56738,41.87194
"idw_online_en","idw_online_en","Germany",10.451526,51.165691
"eboneeast","eboneeast","Inland Empire, California",-116.419389,34.9592083
"IsoradioRai","IsoradioRai","Roma, Lazio",12.4963655,41.9027835
"NTOaxaca","NTOaxaca","Oaxaca, Mexico",-96.7265889,17.0731842
"Javihilde","Javihilde","Chiclayo, Peru",-79.8442978,-6.7765974
"Steelr95","Steelr95","Ohio, USA",-82.907123,40.4172871
"andrea_pecchia","andrea_pecchia","Frascati, Roma",12.6761041,41.8085208
"Francis02343112","Francis02343112","CD de México ",-99.133208,19.4326077
"kosherjellyfish","kosherjellyfish","Singapore!",103.819836,1.352083
"Micahesq","Micahesq","Nigeria",8.675277,9.081999
"blogstreetnews","blogstreetnews","Padova, Italy",11.8767611,45.4064349
"FabioMassi","FabioMassi","Roma",-95.9036356,36.0766378
"la_skinnyy","la_skinnyy","Dietro l'angolo.",12.479372,41.9058848
"the_paper_link","the_paper_link","Shanghai",121.4737021,31.2303904
"Juicy_Room","Juicy_Room","Roma",-95.9036356,36.0766378
"chrystalena82","chrystalena82","St Charles, MO",-90.4974359,38.7881062
"SoloMilan68","SoloMilan68","Kuala Lumpur City",101.686855,3.139003
"nick_eichler","nick_eichler","Dublin City, Ireland",-6.2603097,53.3498053
"partyvistamare","partyvistamare","Il sea-blog di Danila Pecoraro",-89.3985283,40.6331249
"CriterioHidalgo","CriterioHidalgo","Pachuca, Hidalgo, México",-98.7591311,20.1010608
"Bibolotty","Bibolotty","Roma- Italy",12.4963655,41.9027835
"Majin79","Majin79","Napoli, Campania",14.26812,40.8517983
"grislda_","grislda_","random.",-98.7716764,29.8301319
"joseclaudiov","joseclaudiov","México",-102.552784,23.634501
"BlackPhysicists","BlackPhysicists","Arlington, VA and Worldwide ",-77.0486936,38.8538222
"ChintyaMeyga","ChintyaMeyga","Central Sulawesi, Indonesia",121.4456179,-1.4300254
"AnnydettaPolly","AnnydettaPolly","Roma, Lazio",12.4963655,41.9027835
"CushnocRA","CushnocRA","Augusta, ME",-69.7794897,44.3106241
"outbreaksci","outbreaksci","United States",-95.712891,37.09024
"noth2loos","noth2loos","somewhere",-84.1167726,40.7428832
"mariannaaprile","mariannaaprile","Milano/Roma",9.2106307,45.4586532
"healthjoy8","healthjoy8","Rookery Drive, luton, LU2 7FG",-0.4159217,51.9094821
"rudra_channa","rudra_channa","Memphis, TN",-90.0489801,35.1495343
"rvosecat","rvosecat","Napoli, Campania",14.26812,40.8517983
"MikaOutlaw","MikaOutlaw","Berlin",13.404954,52.5200066
"HAK_5","HAK_5","Vienna",16.3738189,48.2081743
"Il_Paradroide","Il_Paradroide","Rome, Italy, Earth",12.4963655,41.9027835
"radioinvisibili","radioinvisibili","roma",-95.9036356,36.0766378
"Librietv","Librietv","Lainate ",9.0257547,45.5709318
"SanRaffaeleMI","SanRaffaeleMI","Milan, Lombardy",9.189982,45.4642035
"Fitzy_Red","Fitzy_Red","United Kingdom",-3.435973,55.378051
"_NegocioPropio","_NegocioPropio","ONLINE",-95.712891,37.09024
"firecaptandi17","firecaptandi17","United States",-95.712891,37.09024
"VirusesMDPI","VirusesMDPI","Basel, Switzerland",7.5885761,47.5595986
"_sokonoko_","_sokonoko_","Japan",138.252924,36.204824
"Franklin_E_T","Franklin_E_T","Arkansas, USA",-91.8318334,35.20105
"OJOVISUAL","OJOVISUAL","MEDELLÍN",-75.5812119,6.244203
"callmesarah_","callmesarah_","Roma, Lazio",12.4963655,41.9027835
"daera_ni","daera_ni","Northern Ireland",-6.4923145,54.7877149
"FFabrizios","FFabrizios","Italia",12.56738,41.87194
"Siledraws","Siledraws","Australia",133.775136,-25.274398
"drlrst","drlrst","GMT+7",-117.927074,34.020626
"mapdevil","mapdevil","Attiki, Greece",23.8584737,38.0457568
"H7N9Influenza","H7N9Influenza","Eastbourne, England",0.290472,50.768035
"poandpo","poandpo","World",-95.712891,37.09024
"alidinuvole","alidinuvole","Nowhere",-73.9841161,40.7317696
"startup_italia","startup_italia","italy",12.56738,41.87194
"lbianchetti","lbianchetti","Milano",-75.163389,39.9629406
"ScalaElectronic","ScalaElectronic","Stahnsdorf, Deutschland",13.2171193,52.3846084
"ClorofillaBio","ClorofillaBio","Lugo, Emilia Romagna",11.8963211,44.480727
"MK9Mzrc1kWgMjma","MK9Mzrc1kWgMjma","日本",138.252924,36.204824
"1Natsu01","1Natsu01","Inghilterra, Regno Unito",-1.1743197,52.3555177
"NRUTastan","NRUTastan","İzmit/Kocaeli-Türkiye",29.9408089,40.7654408
"Afiif_Lya","Afiif_Lya","makassar",119.4327314,-5.1476651
"sortofhere","sortofhere","Hong Kong",114.109497,22.396428
"publicenema2","publicenema2","Karlsruhe, Germany",8.4036527,49.0068901
"germanodefrance","germanodefrance","arco",-95.7118202,37.2150207
"merlino_ma","merlino_ma","Sala Monferrato, Piemonte",8.3588512,45.0744875
"Pancake353","Pancake353","TOKYO",139.6917064,35.6894875
"AlderHeyAMS","AlderHeyAMS","Liverpool, England",-2.9915726,53.4083714
"PudgyHyenagator","PudgyHyenagator","Finland or something",25.7481511,61.92411
"RyanLRamsey","RyanLRamsey","Chillicothe Ohio ",-82.9824019,39.3331197
"anna_swierczyna","anna_swierczyna","Brussels, Belgium",4.3517211,50.8503463
"PoveroTurati","PoveroTurati","Facoltà di lettere di Roma3",12.4755899,41.8512845
"ItsHaileyMarie","ItsHaileyMarie","Ohio",-82.907123,40.4172871
"DataBeersPD","DataBeersPD","Padova, Veneto",11.8767611,45.4064349
"fabhat","fabhat","London",-0.1277583,51.5073509
"GodsonEA","GodsonEA","Lagos, Nigeria",3.3792057,6.5243793
"docgaurav","docgaurav","India",78.96288,20.593684
"drive_eu","drive_eu","Europe",15.2551187,54.5259614
"FacchiniAlberto","FacchiniAlberto","Bologna, Emilia Romagna",11.3426162,44.494887
"TaniK72","TaniK72","Taormina - Sicilia ",15.2853127,37.8516366
"NewshubNZ","NewshubNZ","New Zealand",174.885971,-40.900557
"FocusMgmt_it","FocusMgmt_it","Corso Italia 17, Milano",9.1877663,45.4580645
"oluwabobbie","oluwabobbie","Lagos, Nigeria",3.3792057,6.5243793
"giangio87","giangio87","Chorio; Calabria; Italy",15.8129738,37.9865575
"CramptonLillis","CramptonLillis","Ireland",-7.6920536,53.1423672
"AlvarezAldean","AlvarezAldean","Benalmádena MÁLAGA",-4.5168056,36.5987966
"verdurini","verdurini","Milano",-75.163389,39.9629406
"derKoelleTwitch","derKoelleTwitch","Germany",10.451526,51.165691
"LeonardoPatti4","LeonardoPatti4","Italia",12.56738,41.87194
"BGSHist","BGSHist","Bradford, W.Yorkshire",-1.759398,53.795984
"SP_SciMedPub","SP_SciMedPub","Lyon, France",4.835659,45.764043
"ChiaraGiopy","ChiaraGiopy","Reggio nell'Emilia, Emilia Romagna",10.6296859,44.6989932
"Chaos_Gytha","Chaos_Gytha","Tri Nani Ogg",-3.540868,53.303509
"OneHealthNews","OneHealthNews","USA",-95.712891,37.09024
"andre_peralta","andre_peralta","Seattle, USA | Lisbon, PT",-122.355097,47.6937385
"alessiodanieli","alessiodanieli","Frankfurt/Main",8.6821267,50.1109221
"pklinrc","pklinrc","Lahore, Pakistan",74.3587473,31.5203696
"wigchert","wigchert","Oceanside, CA",-117.3794834,33.1958696
"Akkerroos","Akkerroos","Oostrand van Oost Flevoland",5.5953508,52.5279781
"ironorehopper","ironorehopper","Padova",11.8767611,45.4064349
"tdabrowsky","tdabrowsky","Poland",19.145136,51.919438
"hans_q","hans_q","Finland",25.7481511,61.92411
"TxG_Kingo","TxG_Kingo","小田急",139.69701,35.6906414
"RyanRMUFC","RyanRMUFC","Manchester, England",-2.2426305,53.4807593
"noelcamp","noelcamp","Australia",133.775136,-25.274398
"QualityAssist_","QualityAssist_","Distrito Federal, México",-99.133208,19.4326077
"Stone_ColdCrazy","Stone_ColdCrazy","Made in Heaven",-73.993015,40.6694103
"MSSymptomsGone","MSSymptomsGone","New York",-74.0059728,40.7127753
"chemahdz","chemahdz","Monterrey, Nuevo Leon, Mexico",-100.3161126,25.6866142
"DemFerr","DemFerr","Rome, Lazio",12.4963655,41.9027835
"JamezEnderfan","JamezEnderfan","Mexico",-102.552784,23.634501
"RegLombardia","RegLombardia","Milano",-75.163389,39.9629406
"VFLfootball1919","VFLfootball1919","Melbourne, Victoria",144.9630576,-37.8136276
"GuidoCrosetto","GuidoCrosetto","Italia",12.56738,41.87194
"AlphaYommex","AlphaYommex","Lagos",3.3792057,6.5243793
"Ilmiodiabete","Ilmiodiabete","Italia",12.56738,41.87194
"enfermeriayvacu","enfermeriayvacu","Spain",-3.74922,40.463667
"GugiGustian7","GugiGustian7","Bogor, Jawa Barat, Indonesia",106.8060388,-6.5971469
"muhammad_hahap","muhammad_hahap","medan,indonesia",98.6722227,3.5951956
"ViraBurnayeva","ViraBurnayeva","NoVA, USA",-122.788377,45.4604
"RCNPublisher","RCNPublisher","Tappahannock, VA",-76.8591301,37.9254135
"poTAYto97","poTAYto97","New York, USA",-74.0059728,40.7127753
"Djaanan","Djaanan","Amersfoort, Nederland",5.3878266,52.1561113
"EINH1N1News","EINH1N1News","Washington, D.C.",-77.0368707,38.9071923
"Bleus_DaisyDoo","Bleus_DaisyDoo","Denver, CO",-104.990251,39.7392358
"judihttp","judihttp","Nayarit🇲🇽 ",-104.8454619,21.7513844
"realiwasframed","realiwasframed","U.S.A.",-95.712891,37.09024
"ErandiniSunrise","ErandiniSunrise","Cancun / Berlin",13.2829394,52.5103051
"CeciliaXolalpa","CeciliaXolalpa","Study room",-95.9049119,36.1502819
"KellyCardin1","KellyCardin1","MO",-91.8318334,37.9642529
"minnablog","minnablog","東京",139.7319925,35.7090259
"Tanya_Imunisasi","Tanya_Imunisasi","Indonesia",113.921327,-0.789275
"Vaksinasi","Vaksinasi","Jakarta, Indonesia",106.845599,-6.2087634
"vipintukur","vipintukur","Bijnor,  Uttar Pradesh, India",78.1358472,29.3724422
"katykauffman","katykauffman","Heaven? No, Iowa.",-92.3086943,43.0622724
"cmipueblo","cmipueblo","Los Angeles, California",-118.2436849,34.0522342
"ETSshow","ETSshow","Santa Rosa, CA",-122.7140548,38.440429
"MHLWitter","MHLWitter","東京都千代田区霞が関　中央合同庁舎５号館",139.7531492,35.6732657
"MJGarci30227217","MJGarci30227217","Florida, USA",-81.5157535,27.6648274
"Tempuka","Tempuka","Bandar Sunway l Batu Pahat ",102.9288341,1.849442
"Hiracious","Hiracious","Around. ",-95.405859,37.921195
"PittBull_68","PittBull_68","United States",-95.712891,37.09024
"SamanthaPfaff","SamanthaPfaff","San Francisco East Bay",-122.4194155,37.7749295
"TomAnswers10","TomAnswers10","Atlanta, GA",-84.3879824,33.7489954
"barbaroo1","barbaroo1","Kota Malang, Jawa Timur",112.6326321,-7.9666204
"grumpypedi","grumpypedi","Tampa Bay, Florida, USA",-82.5436722,27.763383
"mcgaula","mcgaula","East Lansing MI/Chicago IL",-84.4958936,42.7189349
"tkdufty","tkdufty","Norwich VT",-72.307869,43.7153482
"Malena_hr","Malena_hr","Veracruz de Ignacio de la Llave, México",-96.5783387,19.2601605
"BoogF","BoogF","Merrill Island",-80.6659842,28.3180688
"planmindfully","planmindfully","Rochester, MN",-92.4801989,44.0121221
"p0lygenesis","p0lygenesis","United States",-95.712891,37.09024
"lohgann","lohgann","Tokorozawa-shi, Saitama",139.4686101,35.7996715
"pbrowning02","pbrowning02","United States",-95.712891,37.09024
"mkhatriDVM","mkhatriDVM","Wooster, OH",-81.935143,40.8050565
"teleserv_ph","teleserv_ph","Philippines",121.774017,12.879721
"DeepPol","DeepPol","Santa Cruz, CA",-122.0307963,36.9741171
"ebalintREP","ebalintREP","Canton, Ohio",-81.378447,40.7989473
"codigosanluisi","codigosanluisi","México, San Luis Potosí",-100.9855409,22.1564699
"gamespite","gamespite","Raleigh, NC",-78.6381787,35.7795897
"Daely_Pentico","Daely_Pentico","Mesa, AZ",-111.8314724,33.4151843
"gimmexsympathy","gimmexsympathy","Temuco, Chile",-72.5903739,-38.7359018
"cleme002","cleme002","DGHI@Duke",-78.9338225,36.0072035
"Blueskiesovergr","Blueskiesovergr","Ottawa, Ontario",-75.6971931,45.4215296
"devons_nana","devons_nana","ash grove mo.",-93.5852004,37.3153257
"BusinessMirror","BusinessMirror","Makati, Philippines",121.0244452,14.554729
"hana_taba2","hana_taba2","tokyo",139.6917064,35.6894875
"bashpr0mpt","bashpr0mpt","Sydney, Australia",151.2092955,-33.8688197
"tamoensalsa","tamoensalsa","Isla Verde, USA",-66.0096099,18.4255022
"XyenaOrozco","XyenaOrozco","Chicago, IL",-87.6297982,41.8781136
"melfer2000","melfer2000","Monterrey, Nuevo León",-100.3161126,25.6866142
"bagasjuliant","bagasjuliant","Solo, Indonesia",110.8243272,-7.5754887
"andreablec","andreablec","Distrito Federal, México",-99.133208,19.4326077
"KarenCpp","KarenCpp","Saltillo, Coahuila de Zaragoza",-100.973678,25.4383234
"HGuasmoSur","HGuasmoSur","Guayaquil, Ecuador",-79.9223592,-2.1709979
"Soy_Mongosaurio","Soy_Mongosaurio","Monterrey México",-100.3161126,25.6866142
"DraDianaCarpio","DraDianaCarpio","Morelia, Michoacán de Ocampo",-101.1949825,19.7059504
"ShannonSalmon","ShannonSalmon","Urbandale, IA",-93.7121656,41.6266555
"SALUDMICH","SALUDMICH","Michoacán de Ocampo, México",-101.7068294,19.5665192
"mbakmoy","mbakmoy","Neverland",-120.0928127,34.7415368
"marcelogv98","marcelogv98","Monterrey, Nuevo León",-100.3161126,25.6866142
"FAOAsiaPacific","FAOAsiaPacific","FAO Regional Office for Asia a",100.4939845,13.7626669
"mccahertyk12","mccahertyk12","IL, USA",-89.3985283,40.6331249
"DelthiaRicks","DelthiaRicks","New York",-74.0059728,40.7127753
"CornbreadNibba","CornbreadNibba","Aldine, TX",-95.4001057,29.9014029
"MauroLoBascio","MauroLoBascio","Milan, Lombardy",9.189982,45.4642035
"drrcpatel","drrcpatel","Gilbert, Arizona",-111.789027,33.3528264
"DrRossWalker","DrRossWalker","Sydney, Australia",151.2092955,-33.8688197
"GovDeception","GovDeception","top secret",-89.7844201,43.6189584
"Master2001_3","Master2001_3","Marche - Italy",12.989615,43.5058744
"LisaAlesci","LisaAlesci","MA, NY, from N Irel 42 yrs ago",-74.0059728,40.7127753
"squishyyyoongi_","squishyyyoongi_","Mexico",-102.552784,23.634501
"Barbara60352463","Barbara60352463","Torino, Piemonte",7.686864,45.0703393
"SciencePharmer","SciencePharmer","Petawawa, Ontario",-77.2828772,45.8982631
"sery_s","sery_s","Italia",12.56738,41.87194
"PublicHealthUMN","PublicHealthUMN","Minnesota",-94.6858998,46.729553
"Newsinunclick","Newsinunclick","Turin, Piedmont",7.686864,45.0703393
"OSUhsl","OSUhsl","Columbus, OH",-82.9987942,39.9611755
"madeexarh","madeexarh","around the globe",-94.05,33.43
"MXPulsoPolitico","MXPulsoPolitico","México",-102.552784,23.634501
"Lluvx","Lluvx","hole in the earth",-90.4722069,38.7667882
"YrisNara","YrisNara","Goiânia",-49.2648114,-16.6868982
"angelsofbottoms","angelsofbottoms","Holmfirth, West Yorkshire",-1.786292,53.571744
"ba1leye","ba1leye","School",-95.712891,37.09024
"Jlimary","Jlimary","San Juan, Puerto Rico",-66.1057355,18.4655394
"_nnmxo","_nnmxo","south london",-0.1277583,51.5073509
"JessieSMorris","JessieSMorris","London, England",-0.1277583,51.5073509
"pybaubry","pybaubry","Taipei",121.5654177,25.0329694
"19dask85","19dask85","Cuneo, Piedmont",7.5426711,44.3844766
"marcvondiaz","marcvondiaz","Berlin Wedding ",13.338931,52.5560732
"leftarmisme","leftarmisme","The Red Room",-94.6709557,38.9843281
"charmedneedle","charmedneedle","Seattle, WA",-122.3320708,47.6062095
"_doingallright","_doingallright","Deep Space",-104.7617256,39.5169545
"drdengaterwuor","drdengaterwuor","Cedar Falls, IA",-92.4453161,42.5348993
"trym81","trym81","Rome, Lazio",12.4963655,41.9027835
"Domenico_Marra","Domenico_Marra","Milano, Lombardia",9.189982,45.4642035
"LarrySa16379655","LarrySa16379655","United States Minor Outlying I",166.647047,19.2823192
"biorxivpreprint","biorxivpreprint","New York",-74.0059728,40.7127753
"AngieCurb","AngieCurb","Argentina",-63.616672,-38.416097
"AlaskanCourtney","AlaskanCourtney","Alaska",-149.4936733,64.2008413
"las_saris","las_saris","en el camino al fin",-118.3299516,33.8859789
"BlueBandit_16","BlueBandit_16","Rome",12.4963655,41.9027835
"JYSchnaderMD","JYSchnaderMD","Norfolk, VA",-76.2858726,36.8507689
"itsmeucunts","itsmeucunts","toronto",-79.3831843,43.653226
"FormulaTorreon","FormulaTorreon","Torreón, Coahuila de Zaragoza",-103.4067861,25.5428443
"Battelle","Battelle","Columbus, OH",-82.9987942,39.9611755
"andreaventura01","andreaventura01","Bologna",11.3426162,44.494887
"wxnderwvll","wxnderwvll","Caserta, Campania",14.367553,41.0854362
"TheTacticalDave","TheTacticalDave","Corpus Christi, TX",-97.396381,27.8005828
"partyjordan","partyjordan","San Francisco",-122.4194155,37.7749295
"VindicoMedEd","VindicoMedEd","Thorofare, NJ",-75.1969346,39.8422093
"tsv100ya","tsv100ya","Townsville, QLD, Australia",146.8169483,-19.2589635
"6abc","6abc","Philadelphia",-75.1652215,39.9525839
"bcastbloggers","bcastbloggers","NYC",-74.0059728,40.7127753
"willtoresist","willtoresist","Proud to be Texan on the Front",-99.9018131,31.9685988
"HRZManta","HRZManta","Manta - Manabí - Ecuador",-80.7089101,-0.9676533
"DanimarieMorse","DanimarieMorse","Michigan",-85.6023643,44.3148443
"franpiace","franpiace","Everywhere ",-84.3640829,33.7589188
"AmmarAbdullahSh","AmmarAbdullahSh","KSA Makkah - SDN Khrtoom",39.8579118,21.3890824
"amccullough519","amccullough519","Westerville, OH",-82.9318807,40.1266689
"drjewilliams","drjewilliams","Sarasota, FL",-82.5306527,27.3364347
"luphorics","luphorics","Los Angeles, CA",-118.2436849,34.0522342
"Wealthokoye","Wealthokoye","United States",-95.712891,37.09024
"TwitchDadTV","TwitchDadTV","Australia",133.775136,-25.274398
"Sandsnake__","Sandsnake__","Distrito Federal, México",-99.133208,19.4326077
"Prof_Farmacia","Prof_Farmacia","Arese, Strada della Moia, 1",9.0847046,45.5373884
"Salud_CZ4","Salud_CZ4","Manabí - Santo Domingo",-80.452644,-1.0543434
"HospitalFIB","HospitalFIB","Guayaquil, Ecuador",-79.9223592,-2.1709979
"SamHighsmith","SamHighsmith","Wilson, KS",-98.4753437,38.8250106
"Mancuso_Mario","Mancuso_Mario","Napoli",-94.705405,37.4196255
"KayJayFIN","KayJayFIN","Finland",25.7481511,61.92411
"Danhdrg","Danhdrg","New York, USA",-74.0059728,40.7127753
"Curiosandos","Curiosandos","Italy",12.56738,41.87194
"tsubasahayashi2","tsubasahayashi2","Japan",138.252924,36.204824
